Track_Name,Album_Title,Artist
Leandro De Itaquera 2001,Carnaval 2001,Various Artists
Tucuruvi 2001,Carnaval 2001,Various Artists
Aguia De Ouro 2001,Carnaval 2001,Various Artists
Ipiranga 2001,Carnaval 2001,Various Artists
Morro Da Casa Verde 2001,Carnaval 2001,Various Artists
Perola Negra 2001,Carnaval 2001,Various Artists
Sao Lucas 2001,Carnaval 2001,Various Artists
Guanabara,Chill: Brazil (Disc 1),Marcos Valle
Mas Que Nada,Chill: Brazil (Disc 1),Marcos Valle
Vôo Sobre o Horizonte,Chill: Brazil (Disc 1),Marcos Valle
A Paz,Chill: Brazil (Disc 1),Marcos Valle
Wave (Vou te Contar),Chill: Brazil (Disc 1),Marcos Valle
Água de Beber,Chill: Brazil (Disc 1),Marcos Valle
Samba da Bençaco,Chill: Brazil (Disc 1),Marcos Valle
Pode Parar,Chill: Brazil (Disc 1),Marcos Valle
Menino do Rio,Chill: Brazil (Disc 1),Marcos Valle
Ando Meio Desligado,Chill: Brazil (Disc 1),Marcos Valle
Mistério da Raça,Chill: Brazil (Disc 1),Marcos Valle
All Star,Chill: Brazil (Disc 1),Marcos Valle
Menina Bonita,Chill: Brazil (Disc 1),Marcos Valle
Pescador de Ilusões,Chill: Brazil (Disc 1),Marcos Valle
À Vontade (Live Mix),Chill: Brazil (Disc 1),Marcos Valle
Maria Fumaça,Chill: Brazil (Disc 1),Marcos Valle
Sambassim (dj patife remix),Chill: Brazil (Disc 1),Marcos Valle
Garota De Ipanema,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Tim Tim Por Tim Tim,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Tarde Em Itapoã,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Tanto Tempo,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Eu Vim Da Bahia - Live,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Alô Alô Marciano,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Linha Do Horizonte,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Only A Dream In Rio,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Abrir A Porta,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Alice,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Momentos Que Marcam,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Um Jantar Pra Dois,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Bumbo Da Mangueira,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Mr Funk Samba,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Santo Antonio,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Por Você,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Só Tinha De Ser Com Você,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Free Speech For The Dumb,Garage Inc. (Disc 1),Metallica
It's Electric,Garage Inc. (Disc 1),Metallica
Sabbra Cadabra,Garage Inc. (Disc 1),Metallica
Turn The Page,Garage Inc. (Disc 1),Metallica
Die Die My Darling,Garage Inc. (Disc 1),Metallica
Loverman,Garage Inc. (Disc 1),Metallica
Mercyful Fate,Garage Inc. (Disc 1),Metallica
Astronomy,Garage Inc. (Disc 1),Metallica
Whiskey In The Jar,Garage Inc. (Disc 1),Metallica
Tuesday's Gone,Garage Inc. (Disc 1),Metallica
The More I See,Garage Inc. (Disc 1),Metallica
A Kind Of Magic,Greatest Hits II,Queen
Under Pressure,Greatest Hits II,Queen
Radio GA GA,Greatest Hits II,Queen
I Want It All,Greatest Hits II,Queen
I Want To Break Free,Greatest Hits II,Queen
Innuendo,Greatest Hits II,Queen
