Track_Id,Track_Name,Album_Title,Media_Type,Genre
38,All I Really Want,Jagged Little Pill,MPEG audio file,Rock
39,You Oughta Know,Jagged Little Pill,MPEG audio file,Rock
40,Perfect,Jagged Little Pill,MPEG audio file,Rock
41,Hand In My Pocket,Jagged Little Pill,MPEG audio file,Rock
42,Right Through You,Jagged Little Pill,MPEG audio file,Rock
43,Forgiven,Jagged Little Pill,MPEG audio file,Rock
44,You Learn,Jagged Little Pill,MPEG audio file,Rock
45,Head Over Feet,Jagged Little Pill,MPEG audio file,Rock
46,Mary Jane,Jagged Little Pill,MPEG audio file,Rock
47,Ironic,Jagged Little Pill,MPEG audio file,Rock
48,Not The Doctor,Jagged Little Pill,MPEG audio file,Rock
49,Wake Up,Jagged Little Pill,MPEG audio file,Rock
50,You Oughta Know (Alternate),Jagged Little Pill,MPEG audio file,Rock
