51,Grandma's Boysenberry Spread,44,1100.00
18,Konbu,30,180.00
7,Ikura,60,1860.00
58,Teatime Chocolate Biscuits,49,450.80
46,Nord-Ost Matjeshering,28,724.92
56,Rogede sild,15,142.50
75,Chocolade,4,51.00
25,Alice Mutton,24,936.00
73,Vegie-spread,3,131.70
59,Scottish Longbreads,40,500.00
8,Scottish Longbreads,20,250.00
19,Louisiana Hot Spiced Okra,12,204.00
59,Flotemysost,45,967.50
64,Louisiana Hot Spiced Okra,25,425.00
69,Aniseed Syrup,15,150.00
49,Tofu,2,46.50
36,Genen Shouyu,16,248.00
8,Carnarvon Tigers,10,625.00
52,Schoggi Schokolade,12,526.80
31,Chartreuse verte,25,450.00
62,Nord-Ost Matjeshering,60,1553.40
24,Maxilaku,3,60.00
57,Perth Pasties,50,1640.00
46,Manjimup Dried Apples,28,1484.00
7,Filo Mix,12,84.00
52,Louisiana Fiery Hot Pepper Sauce,24,505.20
59,Wimmers gute Semmelknödel,9,299.25
13,Vegie-spread,18,790.20
70,Longlife Tofu,30,300.00
75,Chef Anton's Cajun Seasoning,7,154.00
11,Queso Cabrales,40,840.00
42,Côte de Blaye,12,3162.00
11,Singaporean Hokkien Fried Mee,40,560.00
67,Gudbrandsdalsost,20,720.00
70,Uncle Bob's Organic Dried Pears,9,270.00
25,Konbu,7,42.00
59,Ikura,50,1550.00
4,Rogede sild,25,237.50
19,Gnocchi di nonna Alice,1,38.00
57,Wimmers gute Semmelknödel,50,1662.50
18,Rhönbräu Klosterbier,20,155.00
31,Chai,70,1260.00
31,Grandma's Boysenberry Spread,35,875.00
22,Tunnbröd,4,36.00
62,Manjimup Dried Apples,60,3180.00
4,Genen Shouyu,35,542.50
63,Chartreuse verte,6,108.00
28,Ipoh Coffee,5,230.00
35,Ipoh Coffee,18,828.00
22,Valkoinen suklaa,4,65.00
45,Mozzarella di Giovanni,27,939.60
56,Boston Crab Meat,2,36.80
53,Gula Malacca,15,291.75
23,Uncle Bob's Organic Dried Pears,2,60.00
13,Sir Rodney's Marmalade,30,2430.00
48,Guaraná Fantástica,70,315.00
44,Gumbär Gummibärchen,18,562.14
53,Nord-Ost Matjeshering,5,129.45
63,Sasquatch Ale,10,140.00
28,Côte de Blaye,10,2635.00
60,Gula Malacca,40,778.00
34,Singaporean Hokkien Fried Mee,14,196.00
37,Valkoinen suklaa,18,292.50
34,Rhönbräu Klosterbier,40,310.00
77,Aniseed Syrup,10,100.00
70,Chai,5,90.00
4,Pavlova,24,418.80
17,Rössle Sauerkraut,35,1596.00
60,Nord-Ost Matjeshering,30,776.70
36,Rogede sild,6,57.00
57,Scottish Longbreads,10,125.00
75,Chef Anton's Gumbo Mix,10,213.50
61,Chef Anton's Cajun Seasoning,5,110.00
75,Queso Cabrales,14,294.00
67,Carnarvon Tigers,25,1562.50
39,Tarte au sucre,4,197.20
33,Louisiana Hot Spiced Okra,50,850.00
44,Stroopwafels,6,58.50
24,Stroopwafels,110,1072.50
16,Aniseed Syrup,36,360.00
49,Manjimup Dried Apples,28,1484.00
17,Chocolade,42,535.50
39,Filo Mix,5,35.00
51,Queso Cabrales,16,336.00
13,Queso Manchego La Pastora,5,190.00
56,Rössle Sauerkraut,5,228.00
13,Steeleye Stout,3,54.00
74,Côte de Blaye,5,1317.50
1,Chocolade,10,127.50
16,Tarte au sucre,30,1479.00
